;nplv;DT;МАРКА;ПРОФИЛЬ;t вып-обр;t обработка;t под током;t продувка;ПСН гр.;чист расход C;чист расход Cr;чист расход Mn;чист расход Si;чист расход V;температура первая;температура последняя;Ar (интенс.);N2 (интенс.);эл. энергия (интенс.);произв жидкая сталь;произв количество обработок;произв  количество плавок;произв количество плавок (цел);расход газ Ar;расход газ  N2;расход C пров.;сыпуч известь РП;сыпуч кварцит;сыпуч кокс пыль УСТК;сыпуч  кокс. мелочь (сух.);сыпуч  кокс. мелочь КМ1;сыпуч  шпат плав.;ферспл CaC2;ферспл FeMo;ферспл FeSi-75;ферспл FeV азот.;ферспл  FeV-80;ферспл  Mn5Si65Al0.5;ферспл  Ni H1 пласт.;ферспл SiMn18;ферспл  ферванит;ферспл  фх850А;эл. энергия;химсталь первый Al_1;химсталь первый C_1;химсталь первый Cr_1;химсталь первый Cu_1;химсталь первый Mn_1;химсталь первый Mo_1;химсталь первый N_1;химсталь первый Ni_1;химсталь первый P_1;химсталь первый S_1;химсталь первый Si_1;химсталь первый Ti_1;химсталь первый V_1;химсталь последний Al;химсталь последний C;химсталь последний Ca;химсталь последний Cr;химсталь последний Cu;химсталь последний Mn;химсталь последний Mo;химсталь последний N;химсталь последний Ni;химсталь последний P;химсталь последний S;химсталь последний Si;химсталь последний Ti;химсталь последний V;химшлак первый Al2O3_1;химшлак первый CaO_1;химшлак первый FeO_1;химшлак первый MgO_1;химшлак первый MnO_1;химшлак первый R_1;химшлак первый SiO2_1;химшлак последний Al2O3;химшлак последний CaO;химшлак последний FeO;химшлак последний MgO;химшлак последний MnO;химшлак последний R;химшлак последний SiO2
10;г683863<88?;2070-06-21 11:53:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
11;г683863<896;2070-06-21 12:47:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
12;г683863<897;2070-06-21 13:43:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
13;г683863<898;2070-06-21 14:36:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
14;г683863<899;2070-06-21 15:34:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
15;г683863<89:;2070-06-21 16:28:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
16;"г683863<89;";2070-06-21 17:49:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
17;г683863<89<;2070-06-21 18:53:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
18;г683863<89=;2070-06-21 20:07:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
19;г683863<89>;2070-06-21 21:02:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
20;г683863<89?;2070-06-21 21:56:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
21;г683863<8:6;2070-06-21 22:53:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
22;г683863<8:7;2070-06-21 23:45:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
23;г683863<8:8;2070-06-22 00:47:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
24;г683863<8:9;2070-06-22 01:43:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
25;г683863<8::;2070-06-22 02:38:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
26;"г683863<8:;";2070-06-22 03:32:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
27;г683863<8:<;2070-06-22 04:26:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
28;г683863<8:=;2070-06-22 05:19:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
29;г683863<8:>;2070-06-22 06:22:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
30;г683863<8:?;2070-06-22 07:16:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
31;"г683863<8;6";2070-06-22 08:13:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
32;"г683863<8;7";2070-06-22 09:06:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
33;"г683863<8;8";2070-06-22 10:04:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
34;"г683863<8;9";2070-06-22 10:58:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
35;"г683863<8;:";2070-06-22 11:52:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
36;"г683863<8;;";2070-06-22 12:52:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
37;"г683863<8;<";2070-06-22 13:45:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
38;"г683863<8;=";2070-06-22 14:38:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
39;"г683863<8;>";2070-06-22 16:18:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
40;"г683863<8;?";2070-06-22 17:11:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
41;г683863<8<6;2070-06-22 18:05:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
42;г683863<8<7;2070-06-22 19:03:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
43;г683863<8<8;2070-06-22 19:56:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
44;г683863<8<9;2070-06-22 20:49:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
45;г683863<8<:;2070-06-22 21:41:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
46;"г683863<8<;";2070-06-22 22:40:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
47;г683863<8<<;2070-06-22 23:32:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
48;г683863<8<=;2070-06-23 00:25:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
49;г683863<8<>;2070-06-23 01:18:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
50;г683863<8<?;2070-06-23 02:26:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
51;г683863<8=6;2070-06-23 03:20:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
52;г683863<8=7;2070-06-23 04:13:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
53;г683863<8=8;2070-06-23 05:10:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
54;г683863<8=9;2070-06-23 06:01:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
55;г683863<8=:;2070-06-23 06:58:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
56;"г683863<8=;";2070-06-23 07:54:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
57;г683863<8=<;2070-06-23 08:47:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
58;г683863<8==;2070-06-23 09:45:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
59;г683863<8=>;2070-06-23 10:39:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
60;г683863<8=?;2070-06-23 11:40:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
61;г683863<8>6;2070-06-23 12:43:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
62;г683863<8>7;2070-06-23 13:36:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
63;г683863<8>8;2070-06-23 14:30:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
64;г683863<8>9;2070-06-23 15:23:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
65;г683863<8>:;2070-06-23 16:21:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
66;"г683863<8>;";2070-06-23 17:20:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
67;г683863<8><;2070-06-23 18:13:00;Э76ХФ;Р65;38,0;56,7166667;18,5333333;56,7166667;;0,01524;;0,022209;0,048741;;1575,0;1601,0;11,6418444;;11564,028777;113,4;1,0;1,0;1,0;20,619;;;0,118;;;;0,018;0,038;;;;;;0,066;;0,033;;;3572,0;0,002;0,451;0,344;0,103;0,667;0,008;0,01;0,079;0,008;0,025;0,467;0,002;0,002;0,003;0,765;0,0003;0,419;0,103;0,806;0,007;0,012;0,077;0,009;0,019;0,578;0,003;0,038;;64,1;0,4;5,1;0,14;2,5;;;59,3;0,7;7,2;0,32;2,5;
68;г683863<8>=;2070-06-23 19:16:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
69;г683863<8>>;2070-06-23 21:06:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
70;г683863<8>?;2070-06-23 21:49:00;Э76ХФ;Р65;58,0;102,0666667;36,5666667;102,0666667;2,1027065;0,45052;0,254024;0,251131;0,268233;0,0395125;1603,0;1608,0;11,5703417;;13013,49134;113,2;1,0;1,0;1,0;36,498;;;0,288;;0,05;;0,456;0,081;0,02;;;;0,05013;0,308;;0,387;;0,452;7931,0;0,002;0,427;0,209;0,101;0,589;0,009;0,009;0,078;0,008;0,018;0,361;0,001;0,002;0,003;0,768;0,0002;0,424;0,103;0,811;0,008;0,012;0,079;0,009;0,008;0,562;0,002;0,037;;51,0;0,6;15,5;0,23;1,9;;;58,5;0,4;7,8;0,15;2,2;
71;г683863<8?6;2070-06-23 23:49:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
72;г683863<8?7;2070-06-24 00:44:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
73;г683863<8?8;2070-06-24 01:52:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
74;г683863<8?9;2070-06-24 02:44:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
75;г683863<8?:;2070-06-24 03:39:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
76;"г683863<8?;";2070-06-24 04:32:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
77;г683863<8?<;2070-06-24 05:25:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
78;г683863<8?=;2070-06-24 06:21:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
79;г683863<8?>;2070-06-24 07:11:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
80;г683863<8??;2070-06-24 08:04:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
81;г683863<966;2070-06-24 08:55:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
82;г683863<967;2070-06-24 13:28:00;Э76ХФ;Р65;17,0;62,55;39,9666667;62,55;5,088442;0,5348;0,110152;0,168386;0,128527;0,0395408;1513,0;1636,0;9,1945037;;15174,6455379;113,1;1,0;1,0;1,0;19,145;;;0,109;;0,05;;0,59;0,034;0,02;;;;0,050166;0,127;;0,262;;0,196;10108,0;0,002;0,346;0,323;0,097;0,662;0,007;0,008;0,072;0,008;0,019;0,472;0,002;0,003;0,003;0,746;0,0005;0,423;0,098;0,808;0,006;0,011;0,072;0,009;0,015;0,581;0,004;0,038;;53,9;0,6;14,5;0,29;2,3;;;58,4;0,5;7,9;0,17;2,2;
83;г683863<968;2070-06-24 14:43:00;Э76ХФ;Р65;20,0;47,5166667;24,9666667;47,0166667;3,1075312;0,541855;0,14331;0,234872;0,208873;0,0423918;1602,0;1608,0;11,1413683;;13320,9612817;118,1;1,0;1,0;1,0;17,461;;;0,239;;0,05;;0,59;0,038;0,02;;;;0,053783;0,223;;0,364;;0,255;5543,0;0,002;0,363;0,306;0,09;0,608;0,006;0,01;0,072;0,007;0,018;0,397;0,001;0,002;0,003;0,76;0,0006;0,42;0,089;0,802;0,005;0,011;0,072;0,008;0,012;0,566;0,003;0,038;;50,7;0,7;15,1;0,51;2,0;;;59,2;1,0;7,1;0,19;2,2;
84;г683863<969;2070-06-24 15:42:00;Э76ХФ;Р65;15,0;51,9;22,3833333;51,9;2,5565899;0,533385;0,14893;0,247852;0,222789;0,0433329;1619,0;1612,0;10,5260116;;13434,996277;120,4;1,0;1,0;1,0;18,21;;;0,102;;0,05;;0,578;;0,02;;;;0,054977;0,239;;0,384;;0,265;5012,0;0,001;0,365;0,302;0,094;0,595;0,006;0,011;0,07;0,008;0,026;0,382;0,001;0,002;0,003;0,773;0,0004;0,418;0,092;0,803;0,005;0,011;0,069;0,008;0,017;0,57;0,003;0,038;;50,9;0,5;17,3;0,67;1,9;;;58,3;0,7;8,4;0,16;2,3;
85;г683863<96:;2070-06-24 16:44:00;Э76ХФ;Р65;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
